Status,Spam,Message
receive,1,Dear Customer  as a G-BAM customer  you have received FREE 5Mb for browsing. Browse and enjoy the best calling rates on G-Bam. Enjoy!
receive,1,Dear Customer  as a G-BAM customer  you have received FREE 5Mb for browsing. Browse and enjoy the best calling rates on G-Bam. Enjoy!
receive,1,Want to win a Walker? Click here www.Facebook.com/GOtvNg to like the GOtv Facebook page; you?ll be entered for a raffle draw and could win one of 50 Walkers!
receive,1,Want to win a Walker? Click here www.Facebook.com/GOtvNg to like the GOtv Facebook page; you?ll be entered for a raffle draw and could win one of 50 Walkers!
receive,1,GREAT NEWS!We celebrate Nigeria's 100 years &we give away the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777 & participate!N100/SMS
receive,1,Enjoy uninterrupted chatting and PINGing on BBM  for only N100 weekly. To activate  text BBMW to 21600.
receive,1,Y'ello! Get fast  easy  reliable and unlimited WiFi access in hotspots around the world with MTN WiFi app. Click here to download the App: http://bit.ly/UcasoS
receive,1,Due to a planned network upgrade  you might experience difficulty with making calls tonight b/w 10pm . 3am. We deeply regret any inconvenience this will cause
receive,1,Stream the latest video Dorobucci by the Marvin Crew FOR FREE on MTN Music+.Sms MUSIC to 5900 or click http://goo.gl/ZvxWGN & get FREE 1 month subscription&150MB
send,0,Acct name adejola Afeez olakunle. acct number 01XXXXXX99 and bank name is gt bank
send,0,Acct name adejola Afeez olakunle. acct number 01XXXXXX99 and bank name is gt bank
receive,1,Yhello! You can now get up to date ALJAZEERA News directly to your mobile handsets. Text ALJ to 700 now! For NAIJA GIST text NGOSSIP to 700.
receive,1,Get the Leadership Newspaper delivered to your mobile phone everyday! Text LDW to 4900 to subscribe @N30 weekly
receive,1,You transferred N350 to 070XXXXXX17 on 03/08/14 12:14. Your new account balance is N10.15. Thanks for using Share & Sell.
receive,1,N350 was transferred to you from 081XXXXXX71 on 03/08/14 12:14 via Share & Sell. Your new account balance is N371.6.
receive,1,You transferred N200 to 081XXXXX992 on 30/07/14 16:42. Your new account balance is N206.09. Thanks for using Share & Sell.
receive,1,"Y'ello  you have been charged N50.00 and your callertunez service has been extended to 2014-09-01 successfully. Reply TOP5 or""#SongName"" to search tunez. For more info  text HELP to 4100"
send,0,Sorry i went to d mosque dis is jubril mtn no 0813 940 7909
receive,1,MCB&CSC Dinner 2014 1st of its Kind in FUNAAB.2nd Aug.2014 Have you Picked up your ticket(s) VIP=#1 500 COUPLE=#2 800 TABLE for 6=#8 500.CALL 081XXXXX18 4tckts
receive,1,LOVE TO MEET NEW FRIENDS? FunDate Is 4 You. FunDate Makes Finding New Friends Easy. Text FD to 35241 to start. cost N100 /30days
send,0,Assalam aleikum may Allah  accept what ever little we did during this month & make us of those who have been saved from the fire of He'll  and count among the  dwellers of paradise. Have a blessed day... Wishing u  Eid Mubarak.sorry twas late  been busy
receive,0,Please call me back. Get discounted products like Electronics  Gadgets  Clothes  Travel tickets etc  sms Menu to 2220. N100/Month.
receive,0,Take yaba bus & drop at Jibowo. From Jibowo take keke to unilag junction.  U will see Tonia school beside it is London Business Academy(glass house)ask for me
send,0,Gud evening ma I have a flat battery since yesterday and have been busy since I charge my fone in sch tolu's no is 070XXXXXX43
receive,1,Reduce your stress.Stress/anxiety can temporarily increase blood pressure.More Tips on How to Control High Blood Pressure.Txt Bp to 35240. Cost N100 /30 days
receive,0,Please call me. Get 100% extra when you recharge with *885*RechargePin# on SmoothTalk and Trutalk.Extra Airtime expires daily @ 11:59pm.
send,0,Wen u get to lafenwa or ita oshin take camp cab wen u get to camp cross to d oda side going to Unaab den call me
receive,1,Easytunez Service offers you 1 FREE Ring Back Tune & FREE Activation for 30 days. Text 1 to 251 for Esupofo by Olamide or text 3 to 251 for Limpopo by Kcee.
receive,0,Do you know you can get N1 000 in the Diamond mobile App activate & win promo? Simply download and use the Mobile App. For enquiries  call 07003000000
receive,0,Dear Customer  never disclose your banking password  username and PIN to anyone by email  phone or in person. For enquiries please call 07003000000 or SMS 30811
receive,0,Due to system maintenance  our service channels will be UNAVAILABLE from 5pm 04/07- 7am 07/07 2014. For open services  visit diamondbank.com or call 07003000000
receive,0,Dear TOSIN   Fund your account and win N1000 when you download and carry out a transaction with the Diamond Mobile App. For enquiries call 07003000000
receive,0,Dear TOSIN RASHEED AGBAJE   Fund your account and win N1000 when you download and carry out a transaction with the Diamond Mobile App. For enquiries call 07003000000
receive,0,Dear TOSIN RASHEED AGBAJE   Fund your account today and win N1 000 when you download and use the Diamond Mobile App. Terms & Conditions Apply. For enquiries  call 07003000000 or SMS 30811
receive,0,Win free airtime while you study for JAMB & 'O' level exams by downloading the DIAMOND PREP CHALLENGE app on your mobile phone. For enquiries call 0700 3000000
receive,1,Breaking News!!! Recharge and get 200% extra airtime INSTANTLY to call any Airtel number. Limited period offer. Recharge Now!
send,0,Gud afternoon I just wanted to ask when  are we going to get the balance of our wages
send,0,Gud afternun mr Nats my acct name is agbaje Tosin rasheed acct number is 3044358234 bank name 1st bank
receive,0,Dear all pls we are to report at d venue WDC agege by 9am prompt for a meeting with d client.dont fail.come with ur pencils eraser and d recruitment qntrs... Mr.nath..mms
receive,0,Please call me. SGet daily Business Tips  60mins voice calls  30SMS  100MB data @ N1000/month. Dial *460*1# to migrate & *460*2*1# to buy
receive,0,I ve been calling ur line  ur not picking. U are invited for a briefing tomorrow at psi by 9am promt.
receive,1,Are you a graduate or professional looking for a new job? To get daily Job Vacancies from Phillips Consulting  text YES to 5039 or STOPALERTS  to unsubscribe
receive,1,Looking for a new job?A good CV should be short/relevant;no more than 3pages.For more Job tips from Phillips Consulting text JOBS to 5039 or STOP to unsubscribe
receive,1,Are you a graduate or professional looking for a new job? To get daily Job Vacancies from Phillips Consulting  text YES to 5039 or STOPALERTS  to unsubscribe
receive,1,Looking for a new job?A good CV should be short/relevant;no more than 3pages.For more Job tips from Phillips Consulting text JOBS to 5039 or STOP to unsubscribe
receive,1,Are you a graduate or professional looking for a new job? To get daily Job Vacancies from Phillips Consulting  text YES to 5039 or STOPALERTS  to unsubscribe
receive,1,God will bless you richly so that in all things at all times you will abound in every good work.For more prayers from Pastor Chris Oyakhilome text ROR to 5036.
